mission,id,name,disposition,period_days,radius_re,snr
Kepler,9415172,Kepler-255 d,CONFIRMED,1.04562195,1.45,25.3
Kepler,9415172,Kepler-255 b,CONFIRMED,5.71462396,1.78,16.7
Kepler,9904059,,FALSE POSITIVE,102.9641952,39,86.1
Kepler,3231341,Kepler-24 b,CONFIRMED,8.14515981,3.43,32.2
Kepler,3231341,Kepler-24 e,CONFIRMED,18.9985279,43.17,16.9
Kepler,3231341,Kepler-24 d,CONFIRMED,4.24439049,2.07,15.1
Kepler,2860866,,CANDIDATE,90.1240507,7.12,57.9
Kepler,7626506,Kepler-112 c,CONFIRMED,28.5742692,2.32,97.1
Kepler,10460629,,CANDIDATE,856.672115,3.87,39.2
Kepler,10319385,,CANDIDATE,0.689210173,1.32,93.4
Kepler,10482160,Kepler-1739 b,CONFIRMED,7.34373964,1.84,32.2
Kepler,10485069,,FALSE POSITIVE,0.445277068,35.74,28.9
Kepler,3233043,,FALSE POSITIVE,0.379463865,59.56,458.6
Kepler,6579806,,FALSE POSITIVE,9.88047978,23.6,534.5
Kepler,3560301,,FALSE POSITIVE,4.6484156,5.06,91.7
Kepler,4044005,,FALSE POSITIVE,17.512014768,13.66,322.3
Kepler,11502218,,CANDIDATE,3.9886021,34.39,37.1
Kepler,11180361,,CANDIDATE,0.533059312,133.56,179.6
Kepler,5802246,,FALSE POSITIVE,0.525154153,23.61,116.1
Kepler,6066403,,FALSE POSITIVE,1.303861044,27.85,140.6
Kepler,6209637,,FALSE POSITIVE,0.73452496,,
Kepler,5988031,,FALSE POSITIVE,2.55549176,23.35,24.3
Kepler,7684873,,FALSE POSITIVE,2.947376671,403.59,62.3
Kepler,8559644,Kepler-111 c,CONFIRMED,224.7789355,7.67,235.7
Kepler,2851100,,FALSE POSITIVE,0.890110752,1.25,19.6
Kepler,3130300,,FALSE POSITIVE,5.76573396,7.47,22.2
Kepler,3240158,Kepler-769 b,CONFIRMED,7.42608123,2.47,37.5
Kepler,3240158,Kepler-769 c,CONFIRMED,15.9868932,1.62,10.9
Kepler,3228959,,FALSE POSITIVE,0.73094589,17.12,37.5
Kepler,3218908,Kepler-770 b,CONFIRMED,18.92537246,13.92,41
Kepler,10341913,,FALSE POSITIVE,0.933749106,3.22,136.3
Kepler,10480921,,FALSE POSITIVE,2.037440623,1.19,27
Kepler,10287723,,CANDIDATE,129995.7784,2.99,35.7
Kepler,10350571,Kepler-784 b,CONFIRMED,31.5925809,1.78,25.5
Kepler,10350571,Kepler-784 c,CONFIRMED,17.157236,1.55,23.6
Kepler,3749365,Kepler-785 b,CONFIRMED,1.97376085,8.78,1252.5
Kepler,11013201,,CANDIDATE,13.118962443,8.25,267.4
Kepler,11673674,,FALSE POSITIVE,4.618767792,7.48,270.1
Kepler,11013201,,CANDIDATE,7.82187328,2.78,37.2
Kepler,9414417,,CANDIDATE,53.5057611,2.52,71.2
Kepler,3632418,Kepler-21 b,CONFIRMED,2.785821236,1.69,53.6
Kepler,3441784,,FALSE POSITIVE,52.56901867,78.54,184.3
Kepler,5820218,,FALSE POSITIVE,3.411758679,14.71,35.6
Kepler,5876368,,FALSE POSITIVE,0.525426427,1.45,63.6
Kepler,5809890,Kepler-755 b,CONFIRMED,1.269091415,1.41,73.5
Kepler,5809890,Kepler-755 c,CONFIRMED,2.853133997,1.36,39.7
Kepler,6131236,Kepler-1734 b,CONFIRMED,6.79685353,2.01,29.8
Kepler,9048161,,FALSE POSITIVE,8.667822346,67.37,187.6
Kepler,3218908,Kepler-770 c,CONFIRMED,1.475323222,5.88,27.2
Kepler,3218908,Kepler-770 d,CONFIRMED,4.15246118,7.62,24.5
Kepler,3235672,,FALSE POSITIVE,6.7210783,,
Kepler,2837111,Kepler-771 b,CONFIRMED,8.7348852,1.59,24.8
Kepler,3120276,,FALSE POSITIVE,10.26547688,1.81,20.1
